geo_level,est,county_fips,group_number,stpl_fips,date_export,metric_number,stcotr_fips,group_name,state_fips,denom,num,state_abbr,county_name,city_name,data_yr_type,lci,tract_code,uci,metric_name
tract,8.5,037,1,4752006,2022-03-02T00:00:00Z,2,47037011700,total population,47,-999.0,-999.0,TN,Davidson County,Nashville,2018,-999.0,011700,-999.0,Air pollution - particulate matter
tract,9.0,037,1,4752006,2022-03-02T00:00:00Z,2,47037011700,total population,47,-999.0,-999.0,TN,Davidson County,Nashville,2017,-999.0,011700,-999.0,Air pollution - particulate matter
tract,8.5,037,1,4752006,2022-03-02T00:00:00Z,2,47037011800,total population,47,-999.0,-999.0,TN,Davidson County,Nashville,2018,-999.0,011800,-999.0,Air pollution - particulate matter
tract,9.0,037,1,4752006,2022-03-02T00:00:00Z,2,47037011800,total population,47,-999.0,-999.0,TN,Davidson County,Nashville,2017,-999.0,011800,-999.0,Air pollution - particulate matter
tract,8.5,037,1,4752006,2022-03-02T00:00:00Z,2,47037011900,total population,47,-999.0,-999.0,TN,Davidson County,Nashville,2018,-999.0,011900,-999.0,Air pollution - particulate matter
tract,9.0,037,1,4752006,2022-03-02T00:00:00Z,2,47037011900,total population,47,-999.0,-999.0,TN,Davidson County,Nashville,2017,-999.0,011900,-999.0,Air pollution - particulate matter
tract,8.5,037,1,4752006,2022-03-02T00:00:00Z,2,47037012100,total population,47,-999.0,-999.0,TN,Davidson County,Nashville,2018,-999.0,012100,-999.0,Air pollution - particulate matter
tract,9.0,037,1,4752006,2022-03-02T00:00:00Z,2,47037012100,total population,47,-999.0,-999.0,TN,Davidson County,Nashville,2017,-999.0,012100,-999.0,Air pollution - particulate matter
tract,8.6,037,1,4752006,2022-03-02T00:00:00Z,2,47037012200,total population,47,-999.0,-999.0,TN,Davidson County,Nashville,2018,-999.0,012200,-999.0,Air pollution - particulate matter
tract,9.0,037,1,4752006,2022-03-02T00:00:00Z,2,47037012200,total population,47,-999.0,-999.0,TN,Davidson County,Nashville,2017,-999.0,012200,-999.0,Air pollution - particulate matter
tract,8.5,037,1,4752006,2022-03-02T00:00:00Z,2,47037012600,total population,47,-999.0,-999.0,TN,Davidson County,Nashville,2018,-999.0,012600,-999.0,Air pollution - particulate matter
tract,8.9,037,1,4752006,2022-03-02T00:00:00Z,2,47037012600,total population,47,-999.0,-999.0,TN,Davidson County,Nashville,2017,-999.0,012600,-999.0,Air pollution - particulate matter
tract,8.4,037,1,4752006,2022-03-02T00:00:00Z,2,47037012701,total population,47,-999.0,-999.0,TN,Davidson County,Nashville,2018,-999.0,012701,-999.0,Air pollution - particulate matter
tract,8.8,037,1,4752006,2022-03-02T00:00:00Z,2,47037012701,total population,47,-999.0,-999.0,TN,Davidson County,Nashville,2017,-999.0,012701,-999.0,Air pollution - particulate matter
tract,8.5,037,1,4752006,2022-03-02T00:00:00Z,2,47037012702,total population,47,-999.0,-999.0,TN,Davidson County,Nashville,2018,-999.0,012702,-999.0,Air pollution - particulate matter
tract,8.9,037,1,4752006,2022-03-02T00:00:00Z,2,47037012702,total population,47,-999.0,-999.0,TN,Davidson County,Nashville,2017,-999.0,012702,-999.0,Air pollution - particulate matter
tract,8.4,037,1,4752006,2022-03-02T00:00:00Z,2,47037012801,total population,47,-999.0,-999.0,TN,Davidson County,Nashville,2018,-999.0,012801,-999.0,Air pollution - particulate matter
tract,8.8,037,1,4752006,2022-03-02T00:00:00Z,2,47037012801,total population,47,-999.0,-999.0,TN,Davidson County,Nashville,2017,-999.0,012801,-999.0,Air pollution - particulate matter
tract,8.4,037,1,4752006,2022-03-02T00:00:00Z,2,47037012802,total population,47,-999.0,-999.0,TN,Davidson County,Nashville,2018,-999.0,012802,-999.0,Air pollution - particulate matter
tract,8.8,037,1,4752006,2022-03-02T00:00:00Z,2,47037012802,total population,47,-999.0,-999.0,TN,Davidson County,Nashville,2017,-999.0,012802,-999.0,Air pollution - particulate matter
tract,8.4,037,1,4752006,2022-03-02T00:00:00Z,2,47037013000,total population,47,-999.0,-999.0,TN,Davidson County,Nashville,2018,-999.0,013000,-999.0,Air pollution - particulate matter
tract,8.7,037,1,4752006,2022-03-02T00:00:00Z,2,47037013000,total population,47,-999.0,-999.0,TN,Davidson County,Nashville,2017,-999.0,013000,-999.0,Air pollution - particulate matter
tract,8.2,037,1,4752006,2022-03-02T00:00:00Z,2,47037013100,total population,47,-999.0,-999.0,TN,Davidson County,Nashville,2018,-999.0,013100,-999.0,Air pollution - particulate matter
tract,8.6,037,1,4752006,2022-03-02T00:00:00Z,2,47037013100,total population,47,-999.0,-999.0,TN,Davidson County,Nashville,2017,-999.0,013100,-999.0,Air pollution - particulate matter
tract,8.4,037,1,4752006,2022-03-02T00:00:00Z,2,47037013201,total population,47,-999.0,-999.0,TN,Davidson County,Nashville,2018,-999.0,013201,-999.0,Air pollution - particulate matter
